type,province,district,sub-district,unit_number,จำนวนผู้มีสิทธิมาเลือกตั้ง,จำนวนผู้มาแสดงตน
บช,ลำปาง,อำเภอแจ้ห่ม,วิเชตนคร,5,713,412
บช,ลำปาง,อำเภอแจ้ห่ม,วิเชตนคร,6,633,433
บช,ลำปาง,อำเภอแจ้ห่ม,วิเชตนคร,7,359,224
บช,ลำปาง,อำเภอแจ้ห่ม,วิเชตนคร,8,908,289
บช,ลำปาง,อำเภอแจ้ห่ม,วิเชตนคร,9,403,292
บช,ลำปาง,อำเภอแจ้ห่ม,เมืองมาย,1,203,174
บช,ลำปาง,อำเภอแจ้ห่ม,เมืองมาย,2,448,310
บช,ลำปาง,อำเภอแจ้ห่ม,เมืองมาย,3,296,199
บช,ลำปาง,อำเภอแจ้ห่ม,เมืองมาย,4,38,99
บช,ลำปาง,อำเภอแจ้ห่ม,เมืองมาย,5,483,320
บช,ลำปาง,อำเภอแจ้ห่ม,เมืองมาย,6,683,553
บช,ลำปาง,อำเภอแจ้ห่ม,เมืองมาย,7,522,389
บช,ลำปาง,อำเภอแจ้ห่ม,แจ้ห่ม,1,141,87
บช,ลำปาง,อำเภอแจ้ห่ม,แจ้ห่ม,2,329,246
บช,ลำปาง,อำเภอแจ้ห่ม,แจ้ห่ม,3,465,303
บช,ลำปาง,อำเภอแจ้ห่ม,แจ้ห่ม,4,460,357
บช,ลำปาง,อำเภอแจ้ห่ม,แจ้ห่ม,5,515,466
บช,ลำปาง,อำเภอแจ้ห่ม,แจ้ห่ม,6,738,490
บช,ลำปาง,อำเภอแจ้ห่ม,แจ้ห่ม,7,410,293
บช,ลำปาง,อำเภอแจ้ห่ม,แจ้ห่ม,8,302,217
บช,ลำปาง,อำเภอแจ้ห่ม,แจ้ห่ม,1,766,430
บช,ลำปาง,อำเภอแจ้ห่ม,แจ้ห่ม,2,66,51
บช,ลำปาง,อำเภอแจ้ห่ม,แจ้ห่ม,3,429,299
บช,ลำปาง,อำเภอแจ้ห่ม,แจ้ห่ม,4,304,200
บช,ลำปาง,อำเภอแจ้ห่ม,แจ้ห่ม,5,744,507
บช,ลำปาง,อำเภอแจ้ห่ม,แจ้ห่ม,6,620,415
บช,ลำปาง,อำเภอแจ้ห่ม,ทุ่งผึ้ง,1,552,419
บช,ลำปาง,อำเภอแจ้ห่ม,ทุ่งผึ้ง,2,600,483
บช,ลำปาง,อำเภอแจ้ห่ม,ทุ่งผึ้ง,3,439,303
บช,ลำปาง,อำเภอแจ้ห่ม,ทุ่งผึ้ง,4,499,383
บช,ลำปาง,อำเภอแจ้ห่ม,ทุ่งผึ้ง,5,980,337
บช,ลำปาง,อำเภอแจ้ห่ม,ทุ่งผึ้ง,6,418,326
บช,ลำปาง,อำเภอแจ้ห่ม,ทุ่งผึ้ง,7,294,224
บช,ลำปาง,อำเภอแจ้ห่ม,ทุ่งผึ้ง,8,175,150
บช,ลำปาง,อำเภอแจ้ห่ม,แม่สุก,1,373,270
บช,ลำปาง,อำเภอแจ้ห่ม,แม่สุก,10,7,8
บช,ลำปาง,อำเภอแจ้ห่ม,แม่สุก,11,466,308
บช,ลำปาง,อำเภอแจ้ห่ม,แม่สุก,12,403,296
บช,ลำปาง,อำเภอแจ้ห่ม,แม่สุก,2,636,-1
บช,ลำปาง,อำเภอแจ้ห่ม,แม่สุก,3,476,925
บช,ลำปาง,อำเภอแจ้ห่ม,แม่สุก,4,514,392
บช,ลำปาง,อำเภอแจ้ห่ม,แม่สุก,5,334,295
บช,ลำปาง,อำเภอแจ้ห่ม,แม่สุก,6,566,400
บช,ลำปาง,อำเภอแจ้ห่ม,แม่สุก,7,420,299
บช,ลำปาง,อำเภอแจ้ห่ม,แม่สุก,8,405,238
บช,ลำปาง,อำเภอแจ้ห่ม,แม่สุก,9,427,282
