winner_party,ประชากร,ครัวเรือน,หมู่บ้าน,ระยะห่างตัวเมือง(km),พื้นที่ภูเขา,มีไฟฟ้า,Turnout%,บัตรเสีย%,% ที่ชนะ
เพื่อไทย,6225.78,2051.22,11.56,18.59,0.11,0.02,98.28,4.35,27.05
ประชาชน,4683.26,1818.96,9.22,14.52,0.09,0.0,97.45,4.83,27.82
