district,sub-district,pop_total,households,villages,has_electricity,is_mountain,dist_center_avg,lat,lon,pop_per_hh,winner_party,winner_score,total_score,total_ballots,valid_ballots,invalid_ballots,no_vote_ballots,turnout_pct,invalid_pct,winner_pct,pop_group,rural_group
เมืองปาน,หัวเมือง,2809.0,1353.0,8,0.0,0.5,30.8125,16.996875998359506,99.89901855122298,2.0761271249076128,ประชาชน,586,1906,3300.0,2008.0,136.0,44.0,98.66666666666667,4.121212121212121,30.745015739769148,น้อย (Q1),ชนบท/ห่างไกล
เมืองปาน,เมืองปาน,3875.0,1454.0,9,0.0,0.0,3.7777777777777777,18.772358985550074,99.4943605363369,2.6650618982118295,ประชาชน,688,2833,4160.0,2620.0,183.0,92.0,97.78846153846153,4.399038461538462,24.28521002470879,น้อย (Q1),ใกล้เมือง
เมืองปาน,แจ้ซ้อน,5740.0,1941.0,12,0.16666666666666666,0.3333333333333333,14.505,18.833676595501437,99.48595505207777,2.957238536836682,เพื่อไทย,1189,3874,6020.0,3942.0,253.0,129.0,97.85714285714285,4.20265780730897,30.69179143004646,ปานกลาง-สูง (Q3),กลาง
เมืองลำปาง,บ้านเสด็จ,8732.0,3009.0,17,0.0,0.0,19.823529411764707,18.40169389864479,99.61863953401061,2.9019607843137254,ประชาชน,1757,5448,8220.0,5219.0,410.0,268.0,96.7396593673966,4.987834549878346,32.2503671071953,มาก (Q4),ชนบท/ห่างไกล
เมืองลำปาง,บ้านแลง,4634.0,2244.0,12,0.0,0.0,34.666666666666664,18.499472329023497,99.65772606432438,2.0650623885918002,ประชาชน,805,3000,5040.0,3169.0,231.0,169.0,96.64682539682539,4.583333333333333,26.833333333333332,ปานกลาง-ต่ำ (Q2),ชนบท/ห่างไกล
แจ้ห่ม,ทุ่งผึ้ง,3009.0,1364.0,8,0.0,0.0,40.5625,18.901376406916135,99.68571541830897,2.2060117302052786,เพื่อไทย,714,2494,3160.0,2281.0,148.0,80.0,97.46835443037975,4.6835443037974684,28.62870890136327,น้อย (Q1),ชนบท/ห่างไกล
แจ้ห่ม,บ้านสา,4038.0,1553.0,10,0.0,0.0,7.0200000000000005,18.65570535172098,99.54773363471031,2.600128783000644,ประชาชน,965,2908,3900.0,2675.0,187.0,157.0,95.97435897435898,4.794871794871795,33.18431911966987,ปานกลาง-ต่ำ (Q2),ใกล้เมือง
แจ้ห่ม,ปงดอน,4020.0,1495.0,8,0.0,0.125,21.25,18.776422730752284,99.67895126435906,2.688963210702341,ประชาชน,452,1633,3500.0,1988.0,188.0,176.0,94.97142857142858,5.371428571428572,27.679118187385182,ปานกลาง-ต่ำ (Q2),ชนบท/ห่างไกล
แจ้ห่ม,วิเชตนคร,5022.0,2370.0,11,0.0,0.09090909090909091,2.872727272727273,18.723848889197228,99.56583705815402,2.118987341772152,ประชาชน,1042,3844,5800.0,3895.0,277.0,165.0,97.1551724137931,4.775862068965518,27.107180020811654,ปานกลาง-สูง (Q3),ใกล้เมือง
แจ้ห่ม,เมืองมาย,3323.0,1049.0,6,0.0,0.16666666666666666,26.433333333333334,18.62646730613579,99.65707384049892,3.1677788369876074,ประชาชน,480,1995,2560.0,1845.0,117.0,56.0,97.8125,4.5703125,24.06015037593985,น้อย (Q1),ชนบท/ห่างไกล
แจ้ห่ม,แจ้ห่ม,5308.0,2710.0,11,0.0,0.0,4.1454545454545455,18.706690236697415,99.57835041663863,1.958671586715867,ประชาชน,1229,3896,,,,,,,31.54517453798768,ปานกลาง-สูง (Q3),ใกล้เมือง
แจ้ห่ม,แม่สุก,5333.0,2073.0,12,0.0,0.0,15.441666666666668,18.821684840313278,99.57776203751564,2.5726000964785336,ประชาชน,863,3179,5420.0,2988.0,274.0,116.0,97.85977859778598,5.055350553505535,27.14690154136521,ปานกลาง-สูง (Q3),กลาง
