Unnamed: 0,province,district,sub-district,unit_number,village,place,latitude,longitude
1,ลำปาง,งาว,นาแก,1,1,ศาลาเอนกประสงค์  บ้านทุ่งศาลา,18.784909008,99.970754159
2,ลำปาง,งาว,นาแก,2,2,ศาลาประชาคม วัดหนองเหียง,18.784909008,99.970754159
3,ลำปาง,งาว,นาแก,3,3,ศาลาวัดนาแก,18.784909008,99.970754159
4,ลำปาง,งาว,นาแก,4,4,ศาลากลางหมู่บ้าน บ้านแม่ฮ่าง,18.784909008,99.970754159
5,ลำปาง,งาว,นาแก,5,5,โรงเรียนแม่แป้นวิทยา,18.805734983,99.918015899
6,ลำปาง,งาว,นาแก,6,6,ศาลากลางหมู่บ้าน บ้านสันติสุข,18.784909008,99.970754159
7,ลำปาง,งาว,บ้านร้อง,1,1,ศาลากลางหมู่บ้าน บ้านนาแรม,18.883164624,99.945182807
8,ลำปาง,งาว,บ้านร้อง,2,2,ศาลากลางหมู่บ้าน บ้านร้อง,18.883164624,99.945182807
9,ลำปาง,งาว,บ้านร้อง,3,3,ศาลาวัดสบป๋อน,18.883164624,99.945182807
10,ลำปาง,งาว,บ้านร้อง,4,4,ศาลาประชาคมบ้านข่อย,18.883164624,99.945182807
11,ลำปาง,งาว,บ้านร้อง,5,5,ศาลาวัดบ้านผาแดง,18.883164624,99.945182807
12,ลำปาง,งาว,บ้านร้อง,6,6,ศาลากลางหมู่บ้าน บ้านปากบอก,18.883164624,99.945182807
13,ลำปาง,งาว,บ้านร้อง,7,7,ศาลาประชาคมหมู่บ้าน,18.883164624,99.945182807
14,ลำปาง,งาว,บ้านร้อง,8,8,โรงเรียนบ้านใหม่พัฒนา,18.883164624,99.945182807
15,ลำปาง,งาว,บ้านร้อง,9,9,ศาลากลางหมู่บ้าน บ้านท่าเจริญ,18.883164624,99.945182807
16,ลำปาง,งาว,บ้านร้อง,10,10,ศาลากลางหมู่บ้าน บ้านร้องพัฒนา,18.883164624,99.945182807
17,ลำปาง,งาว,บ้านร้อง,11,11,โรงเรียนบ้านข่อยมิตรภาพที่ 110 สาขาแม่งาว,18.888510606,99.932468888
18,ลำปาง,งาว,บ้านร้อง,12,12,ศาลากลางหมู่บ้าน บ้านชนแดน,18.883164624,99.945182807
19,ลำปาง,งาว,บ้านร้อง,13,13,โรงเรียนบ้านแม่งาวใต้ สาขาแม่คำหล้า,18.969783551,99.809667626
