,type,province,district,sub-district,unit_number,จำนวนผู้มีสิทธิมาเลือกตั้ง,จำนวนผู้มาแสดงตน
490,เขต,ลำปาง,วังเหนือ,ร่องเคาะ,17,368,226
491,เขต,ลำปาง,วังเหนือ,ร่องเคาะ,18,394,254
492,เขต,ลำปาง,วังเหนือ,วังซ้าย,1,163,100
493,เขต,ลำปาง,วังเหนือ,วังซ้าย,2,358,258
494,เขต,ลำปาง,วังเหนือ,วังซ้าย,3,527,366
495,เขต,ลำปาง,วังเหนือ,วังซ้าย,4,542,381
496,เขต,ลำปาง,วังเหนือ,วังซ้าย,5,500,357
497,เขต,ลำปาง,วังเหนือ,วังซ้าย,6,335,252
498,เขต,ลำปาง,วังเหนือ,วังซ้าย,7,430,324
499,เขต,ลำปาง,วังเหนือ,วังซ้าย,8,525,394
500,เขต,ลำปาง,วังเหนือ,วังซ้าย,9,367,276
501,เขต,ลำปาง,วังเหนือ,วังซ้าย,10,384,282
502,เขต,ลำปาง,วังเหนือ,วังทรายคำ,1,397,258
503,เขต,ลำปาง,วังเหนือ,วังทรายคำ,2,348,248
504,เขต,ลำปาง,วังเหนือ,วังทรายคำ,3,440,332
505,เขต,ลำปาง,วังเหนือ,วังทรายคำ,4,423,330
506,เขต,ลำปาง,วังเหนือ,วังทรายคำ,5,220,170
507,เขต,ลำปาง,วังเหนือ,วังทรายคำ,6,438,290
508,เขต,ลำปาง,วังเหนือ,วังทรายคำ,7,490,355
509,เขต,ลำปาง,วังเหนือ,วังทรายคำ,8,274,184
510,เขต,ลำปาง,วังเหนือ,วังทรายคำ,9,349,245
511,เขต,ลำปาง,วังเหนือ,วังทอง,1,412,291
512,เขต,ลำปาง,วังเหนือ,วังทอง,2,599,396
513,เขต,ลำปาง,วังเหนือ,วังทอง,3,606,477
514,เขต,ลำปาง,วังเหนือ,วังทอง,4,500,342
515,เขต,ลำปาง,วังเหนือ,วังทอง,5,190,137
516,เขต,ลำปาง,วังเหนือ,วังทอง,6,546,399
517,เขต,ลำปาง,วังเหนือ,วังทอง,7,600,471
518,เขต,ลำปาง,วังเหนือ,วังทอง,8,437,316
519,เขต,ลำปาง,วังเหนือ,วังทอง,9,342,257
520,เขต,ลำปาง,วังเหนือ,วังเหนือ,1,209,150
521,เขต,ลำปาง,วังเหนือ,วังเหนือ,2,254,185
522,เขต,ลำปาง,วังเหนือ,วังเหนือ,3,756,539
523,เขต,ลำปาง,วังเหนือ,วังเหนือ,4,608,429
524,เขต,ลำปาง,วังเหนือ,วังเหนือ,5,397,262
525,เขต,ลำปาง,วังเหนือ,วังเหนือ,6,453,321
526,เขต,ลำปาง,วังเหนือ,วังเหนือ,7,199,156
527,เขต,ลำปาง,วังเหนือ,วังเหนือ,8,463,343
528,เขต,ลำปาง,วังเหนือ,วังแก้ว,1,392,270
529,เขต,ลำปาง,วังเหนือ,วังแก้ว,2,351,243
530,เขต,ลำปาง,วังเหนือ,วังแก้ว,3,575,419
531,เขต,ลำปาง,วังเหนือ,วังแก้ว,4,408,266
532,เขต,ลำปาง,วังเหนือ,วังแก้ว,5,393,259
533,เขต,ลำปาง,วังเหนือ,วังแก้ว,6,287,197
534,เขต,ลำปาง,วังเหนือ,วังแก้ว,7,320,222
535,เขต,ลำปาง,วังเหนือ,วังใต้,1,446,316
536,เขต,ลำปาง,วังเหนือ,วังใต้,2,360,262
537,เขต,ลำปาง,วังเหนือ,วังใต้,3,327,224
538,เขต,ลำปาง,วังเหนือ,วังใต้,4,260,181
539,เขต,ลำปาง,วังเหนือ,วังใต้,5,407,284
540,เขต,ลำปาง,วังเหนือ,วังใต้,6,470,326
541,เขต,ลำปาง,วังเหนือ,วังใต้,7,430,303
542,เขต,ลำปาง,เมืองปาน,ทุ่งกว๋าว,1,579,420
543,เขต,ลำปาง,เมืองปาน,ทุ่งกว๋าว,2,554,438
544,เขต,ลำปาง,เมืองปาน,ทุ่งกว๋าว,3,319,240
545,เขต,ลำปาง,เมืองปาน,ทุ่งกว๋าว,4,674,463
546,เขต,ลำปาง,เมืองปาน,ทุ่งกว๋าว,5,475,311
547,เขต,ลำปาง,เมืองปาน,ทุ่งกว๋าว,6,407,292
548,เขต,ลำปาง,เมืองปาน,ทุ่งกว๋าว,7,575,409
549,เขต,ลำปาง,เมืองปาน,ทุ่งกว๋าว,8,321,321
550,เขต,ลำปาง,เมืองปาน,ทุ่งกว๋าว,9,416,283
551,เขต,ลำปาง,เมืองปาน,ทุ่งกว๋าว,10,406,260
552,เขต,ลำปาง,เมืองปาน,ทุ่งกว๋าว,11,360,259
553,เขต,ลำปาง,เมืองปาน,ทุ่งกว๋าว,12,338,251
554,เขต,ลำปาง,เมืองปาน,ทุ่งกว๋าว,13,596,430
555,เขต,ลำปาง,เมืองปาน,ทุ่งกว๋าว,14,323,243
556,เขต,ลำปาง,เมืองปาน,ทุ่งกว๋าว,15,283,171
557,เขต,ลำปาง,เมืองปาน,ทุ่งกว๋าว,16,299,216
558,เขต,ลำปาง,เมืองปาน,บ้านขอ,1,484,317
559,เขต,ลำปาง,เมืองปาน,บ้านขอ,2,564,374
560,เขต,ลำปาง,เมืองปาน,บ้านขอ,3,488,310
561,เขต,ลำปาง,เมืองปาน,บ้านขอ,4,365,227
562,เขต,ลำปาง,เมืองปาน,บ้านขอ,5,531,361
563,เขต,ลำปาง,เมืองปาน,บ้านขอ,6,387,260
564,เขต,ลำปาง,เมืองปาน,บ้านขอ,7,620,450
565,เขต,ลำปาง,เมืองปาน,บ้านขอ,8,426,306
566,เขต,ลำปาง,เมืองปาน,บ้านขอ,9,356,265
567,เขต,ลำปาง,เมืองปาน,บ้านขอ,10,503,363
568,เขต,ลำปาง,เมืองปาน,บ้านขอ,11,449,328
569,เขต,ลำปาง,เมืองปาน,บ้านขอ,12,590,372
570,เขต,ลำปาง,เมืองปาน,บ้านขอ,13,286,190
571,เขต,ลำปาง,เมืองปาน,บ้านขอ,14,267,182
572,เขต,ลำปาง,เมืองปาน,หัวเมือง,1,486,328
573,เขต,ลำปาง,เมืองปาน,หัวเมือง,2,538,325
574,เขต,ลำปาง,เมืองปาน,หัวเมือง,3,335,222
575,เขต,ลำปาง,เมืองปาน,หัวเมือง,4,390,264
576,เขต,ลำปาง,เมืองปาน,หัวเมือง,5,463,301
577,เขต,ลำปาง,เมืองปาน,หัวเมือง,6,952,251
578,เขต,ลำปาง,เมืองปาน,หัวเมือง,7,269,176
579,เขต,ลำปาง,เมืองปาน,หัวเมือง,8,166,129
580,เขต,ลำปาง,เมืองปาน,หัวเมือง,9,299,192
581,เขต,ลำปาง,เมืองปาน,เมืองปาน,1,780,481
582,เขต,ลำปาง,เมืองปาน,เมืองปาน,2,476,326
583,เขต,ลำปาง,เมืองปาน,เมืองปาน,3,386,238
584,เขต,ลำปาง,เมืองปาน,เมืองปาน,4,506,323
585,เขต,ลำปาง,เมืองปาน,เมืองปาน,5,531,352
586,เขต,ลำปาง,เมืองปาน,เมืองปาน,6,311,216
587,เขต,ลำปาง,เมืองปาน,เมืองปาน,7,229,153
588,เขต,ลำปาง,เมืองปาน,เมืองปาน,8,772,125
589,เขต,ลำปาง,เมืองปาน,เมืองปาน,9,377,276
590,เขต,ลำปาง,เมืองปาน,เมืองปาน,10,199,132
591,เขต,ลำปาง,เมืองปาน,เมืองปาน,11,401,273
592,เขต,ลำปาง,เมืองปาน,แจ้ซ้อน,1,461,343
593,เขต,ลำปาง,เมืองปาน,แจ้ซ้อน,2,418,322
594,เขต,ลำปาง,เมืองปาน,แจ้ซ้อน,3,313,233
595,เขต,ลำปาง,เมืองปาน,แจ้ซ้อน,4,534,372
596,เขต,ลำปาง,เมืองปาน,แจ้ซ้อน,5,478,349
597,เขต,ลำปาง,เมืองปาน,แจ้ซ้อน,6,592,414
598,เขต,ลำปาง,เมืองปาน,แจ้ซ้อน,7,352,252
599,เขต,ลำปาง,เมืองปาน,แจ้ซ้อน,8,621,410
600,เขต,ลำปาง,เมืองปาน,แจ้ซ้อน,9,325,231
601,เขต,ลำปาง,เมืองปาน,แจ้ซ้อน,10,100,72
602,เขต,ลำปาง,เมืองปาน,แจ้ซ้อน,11,574,388
603,เขต,ลำปาง,เมืองปาน,แจ้ซ้อน,12,230,172
604,เขต,ลำปาง,เมืองปาน,แจ้ซ้อน,13,552,362
605,เขต,ลำปาง,เมืองปาน,แจ้ซ้อน,14,298,229
606,เขต,ลำปาง,เมืองปาน,แจ้ซ้อน,15,231,175
607,เขต,ลำปาง,เมืองลำปาง,บ้านเสด็จ,1,787,633
608,เขต,ลำปาง,เมืองลำปาง,บ้านเสด็จ,2,414,268
609,เขต,ลำปาง,เมืองลำปาง,บ้านเสด็จ,3,420,267
610,เขต,ลำปาง,เมืองลำปาง,บ้านเสด็จ,4,466,310
611,เขต,ลำปาง,เมืองลำปาง,บ้านเสด็จ,5,692,501
612,เขต,ลำปาง,เมืองลำปาง,บ้านเสด็จ,6,403,252
613,เขต,ลำปาง,เมืองลำปาง,บ้านเสด็จ,7,903,338
614,เขต,ลำปาง,เมืองลำปาง,บ้านเสด็จ,8,531,-3
615,เขต,ลำปาง,เมืองลำปาง,บ้านเสด็จ,9,531,348
616,เขต,ลำปาง,เมืองลำปาง,บ้านเสด็จ,10,764,222
617,เขต,ลำปาง,เมืองลำปาง,บ้านเสด็จ,11,764,478
618,เขต,ลำปาง,เมืองลำปาง,บ้านเสด็จ,12,511,148
619,เขต,ลำปาง,เมืองลำปาง,บ้านเสด็จ,13,432,343
620,เขต,ลำปาง,เมืองลำปาง,บ้านเสด็จ,14,405,287
621,เขต,ลำปาง,เมืองลำปาง,บ้านเสด็จ,15,517,314
622,เขต,ลำปาง,เมืองลำปาง,บ้านเสด็จ,16,517,347
623,เขต,ลำปาง,เมืองลำปาง,บ้านเสด็จ,17,199,146
624,เขต,ลำปาง,เมืองลำปาง,บ้านเสด็จ,18,451,109
625,เขต,ลำปาง,เมืองลำปาง,บ้านเสด็จ,19,451,282
626,เขต,ลำปาง,เมืองลำปาง,บ้านแลง,1,439,284
627,เขต,ลำปาง,เมืองลำปาง,บ้านแลง,2,342,215
628,เขต,ลำปาง,เมืองลำปาง,บ้านแลง,3,616,442
629,เขต,ลำปาง,เมืองลำปาง,บ้านแลง,4,534,366
630,เขต,ลำปาง,เมืองลำปาง,บ้านแลง,5,547,345
631,เขต,ลำปาง,เมืองลำปาง,บ้านแลง,6,293,199
632,เขต,ลำปาง,เมืองลำปาง,บ้านแลง,7,241,162
633,เขต,ลำปาง,เมืองลำปาง,บ้านแลง,8,647,432
634,เขต,ลำปาง,เมืองลำปาง,บ้านแลง,9,418,279
635,เขต,ลำปาง,เมืองลำปาง,บ้านแลง,10,244,166
636,เขต,ลำปาง,เมืองลำปาง,บ้านแลง,11,930,479
637,เขต,ลำปาง,เมืองลำปาง,บ้านแลง,12,280,200
638,เขต,ลำปาง,แจ้ห่ม,ทุ่งผึ้ง,1,552,419
639,เขต,ลำปาง,แจ้ห่ม,ทุ่งผึ้ง,2,626,483
640,เขต,ลำปาง,แจ้ห่ม,ทุ่งผึ้ง,3,439,303
641,เขต,ลำปาง,แจ้ห่ม,ทุ่งผึ้ง,4,499,383
642,เขต,ลำปาง,แจ้ห่ม,ทุ่งผึ้ง,5,980,227
643,เขต,ลำปาง,แจ้ห่ม,ทุ่งผึ้ง,6,418,320
644,เขต,ลำปาง,แจ้ห่ม,ทุ่งผึ้ง,7,374,224
645,เขต,ลำปาง,แจ้ห่ม,ทุ่งผึ้ง,8,199,150
646,เขต,ลำปาง,แจ้ห่ม,บ้านสา,1,375,253
647,เขต,ลำปาง,แจ้ห่ม,บ้านสา,2,740,250
648,เขต,ลำปาง,แจ้ห่ม,บ้านสา,3,480,383
649,เขต,ลำปาง,แจ้ห่ม,บ้านสา,4,548,373
650,เขต,ลำปาง,แจ้ห่ม,บ้านสา,5,405,328
651,เขต,ลำปาง,แจ้ห่ม,บ้านสา,6,286,213
652,เขต,ลำปาง,แจ้ห่ม,บ้านสา,7,458,345
653,เขต,ลำปาง,แจ้ห่ม,บ้านสา,8,342,235
654,เขต,ลำปาง,แจ้ห่ม,บ้านสา,9,413,298
655,เขต,ลำปาง,แจ้ห่ม,บ้านสา,10,482,341
656,เขต,ลำปาง,แจ้ห่ม,ปงดอน,1,418,262
657,เขต,ลำปาง,แจ้ห่ม,ปงดอน,2,422,265
658,เขต,ลำปาง,แจ้ห่ม,ปงดอน,3,572,326
659,เขต,ลำปาง,แจ้ห่ม,ปงดอน,4,683,444
660,เขต,ลำปาง,แจ้ห่ม,ปงดอน,5,373,245
661,เขต,ลำปาง,แจ้ห่ม,ปงดอน,6,84,56
662,เขต,ลำปาง,แจ้ห่ม,ปงดอน,7,724,439
663,เขต,ลำปาง,แจ้ห่ม,ปงดอน,8,300,208
664,เขต,ลำปาง,แจ้ห่ม,ปงดอน,9,116,107
665,เขต,ลำปาง,แจ้ห่ม,วิเชตนคร,1,316,232
666,เขต,ลำปาง,แจ้ห่ม,วิเชตนคร,2,700,539
667,เขต,ลำปาง,แจ้ห่ม,วิเชตนคร,3,692,485
668,เขต,ลำปาง,แจ้ห่ม,วิเชตนคร,4,597,407
669,เขต,ลำปาง,แจ้ห่ม,วิเชตนคร,5,713,462
670,เขต,ลำปาง,แจ้ห่ม,วิเชตนคร,6,633,433
671,เขต,ลำปาง,แจ้ห่ม,วิเชตนคร,7,359,244
672,เขต,ลำปาง,แจ้ห่ม,วิเชตนคร,8,908,284
673,เขต,ลำปาง,แจ้ห่ม,วิเชตนคร,9,403,292
674,เขต,ลำปาง,แจ้ห่ม,วิเชตนคร,10,777,535
675,เขต,ลำปาง,แจ้ห่ม,วิเชตนคร,11,338,250
676,เขต,ลำปาง,แจ้ห่ม,วิเชตนคร,12,257,174
677,เขต,ลำปาง,แจ้ห่ม,เมืองมาย,1,203,174
678,เขต,ลำปาง,แจ้ห่ม,เมืองมาย,2,470,310
679,เขต,ลำปาง,แจ้ห่ม,เมืองมาย,3,296,199
680,เขต,ลำปาง,แจ้ห่ม,เมืองมาย,4,138,79
681,เขต,ลำปาง,แจ้ห่ม,เมืองมาย,5,483,319
682,เขต,ลำปาง,แจ้ห่ม,เมืองมาย,6,683,553
683,เขต,ลำปาง,แจ้ห่ม,เมืองมาย,7,522,384
684,เขต,ลำปาง,แจ้ห่ม,แจ้ห่ม(นอกเขต),1,141,87
685,เขต,ลำปาง,แจ้ห่ม,แจ้ห่ม(นอกเขต),2,329,246
686,เขต,ลำปาง,แจ้ห่ม,แจ้ห่ม(นอกเขต),3,465,303
687,เขต,ลำปาง,แจ้ห่ม,แจ้ห่ม(นอกเขต),4,469,357
688,เขต,ลำปาง,แจ้ห่ม,แจ้ห่ม(นอกเขต),5,515,366
689,เขต,ลำปาง,แจ้ห่ม,แจ้ห่ม(นอกเขต),6,738,490
690,เขต,ลำปาง,แจ้ห่ม,แจ้ห่ม(นอกเขต),7,410,298
691,เขต,ลำปาง,แจ้ห่ม,แจ้ห่ม(นอกเขต),8,302,217
692,เขต,ลำปาง,แจ้ห่ม,แจ้ห่ม(ในเขต),1,766,487
693,เขต,ลำปาง,แจ้ห่ม,แจ้ห่ม(ในเขต),2,66,51
694,เขต,ลำปาง,แจ้ห่ม,แจ้ห่ม(ในเขต),3,429,299
695,เขต,ลำปาง,แจ้ห่ม,แจ้ห่ม(ในเขต),4,704,200
696,เขต,ลำปาง,แจ้ห่ม,แจ้ห่ม(ในเขต),5,744,507
697,เขต,ลำปาง,แจ้ห่ม,แจ้ห่ม(ในเขต),6,620,415
698,เขต,ลำปาง,แจ้ห่ม,แม่สุก,1,373,270
699,เขต,ลำปาง,แจ้ห่ม,แม่สุก,2,636,462
700,เขต,ลำปาง,แจ้ห่ม,แม่สุก,3,476,325
701,เขต,ลำปาง,แจ้ห่ม,แม่สุก,4,514,312
702,เขต,ลำปาง,แจ้ห่ม,แม่สุก,5,334,235
703,เขต,ลำปาง,แจ้ห่ม,แม่สุก,6,566,400
704,เขต,ลำปาง,แจ้ห่ม,แม่สุก,7,421,287
705,เขต,ลำปาง,แจ้ห่ม,แม่สุก,8,405,238
706,เขต,ลำปาง,แจ้ห่ม,แม่สุก,9,427,282
707,เขต,ลำปาง,แจ้ห่ม,แม่สุก,10,648,425
708,เขต,ลำปาง,แจ้ห่ม,แม่สุก,11,466,308
709,เขต,ลำปาง,แจ้ห่ม,แม่สุก,12,403,296
