,type,province,district,sub-district,unit_number,total_ballots,valid_ballots,invalid_ballots,no_vote_ballots,remain_ballots
666,บช,ลำปาง,แจ้ห่ม,แจ้ห่ม(นอกเขต),4,460,311,27,19,103
667,บช,ลำปาง,แจ้ห่ม,แจ้ห่ม(นอกเขต),5,480,326,25,15,114
668,บช,ลำปาง,แจ้ห่ม,แจ้ห่ม(นอกเขต),6,660,440,33,17,170
669,บช,ลำปาง,แจ้ห่ม,แจ้ห่ม(นอกเขต),7,400,270,11,17,102
670,บช,ลำปาง,แจ้ห่ม,แจ้ห่ม(นอกเขต),8,280,187,17,13,63
671,บช,ลำปาง,แจ้ห่ม,แจ้ห่ม(ในเขต),1,680,430,25,32,193
672,บช,ลำปาง,แจ้ห่ม,แจ้ห่ม(ในเขต),2,80,49,2,0,29
673,บช,ลำปาง,แจ้ห่ม,แจ้ห่ม(ในเขต),3,400,262,22,15,101
674,บช,ลำปาง,แจ้ห่ม,แจ้ห่ม(ในเขต),4,280,178,6,16,80
675,บช,ลำปาง,แจ้ห่ม,แจ้ห่ม(ในเขต),5,680,446,44,17,173
676,บช,ลำปาง,แจ้ห่ม,แจ้ห่ม(ในเขต),6,580,378,21,16,165
677,บช,ลำปาง,แจ้ห่ม,ทุ่งผึ้ง,1,520,382,22,15,101
678,บช,ลำปาง,แจ้ห่ม,ทุ่งผึ้ง,2,600,416,32,35,117
679,บช,ลำปาง,แจ้ห่ม,ทุ่งผึ้ง,3,400,274,22,7,97
680,บช,ลำปาง,แจ้ห่ม,ทุ่งผึ้ง,4,480,346,30,7,97
681,บช,ลำปาง,แจ้ห่ม,ทุ่งผึ้ง,5,280,205,16,6,53
682,บช,ลำปาง,แจ้ห่ม,ทุ่งผึ้ง,6,400,302,14,4,80
683,บช,ลำปาง,แจ้ห่ม,ทุ่งผึ้ง,7,300,210,11,3,76
684,บช,ลำปาง,แจ้ห่ม,ทุ่งผึ้ง,8,180,146,1,3,30
685,บช,ลำปาง,แจ้ห่ม,แม่สุก,1,360,241,22,7,90
686,บช,ลำปาง,แจ้ห่ม,แม่สุก,10,600,377,35,13,175
687,บช,ลำปาง,แจ้ห่ม,แม่สุก,11,440,263,38,7,132
688,บช,ลำปาง,แจ้ห่ม,แม่สุก,12,380,273,13,10,84
689,บช,ลำปาง,แจ้ห่ม,แม่สุก,2,620,-1,-1,-1,-1
690,บช,ลำปาง,แจ้ห่ม,แม่สุก,3,460,294,14,17,135
691,บช,ลำปาง,แจ้ห่ม,แม่สุก,4,500,260,31,21,188
692,บช,ลำปาง,แจ้ห่ม,แม่สุก,5,320,203,22,10,85
693,บช,ลำปาง,แจ้ห่ม,แม่สุก,6,520,361,36,3,120
694,บช,ลำปาง,แจ้ห่ม,แม่สุก,7,420,263,17,7,133
695,บช,ลำปาง,แจ้ห่ม,แม่สุก,8,400,215,20,3,162
696,บช,ลำปาง,แจ้ห่ม,แม่สุก,9,400,238,26,18,118
697,เขต,ลำปาง,นอกเขต,ชุดที่ 3,-1,700,621,30,49,-1
698,เขต,ลำปาง,งาว,บ้านร้อง,13,240,127,20,0,93
699,เขต,ลำปาง,งาว,บ้านอ้อน,7,360,217,13,10,120
700,เขต,ลำปาง,เมืองปาน,เมืองปาน,7,240,129,16,8,87
701,บช,ลำปาง,แจ้ห่ม,วิเชตนคร,7,340,224,4,16,96
702,บช,ลำปาง,แจ้ห่ม,วิเชตนคร,8,400,250,23,11,116
703,เขต,ลำปาง,งาว,ปงเตา,13,440,302,13,6,119
704,เขต,ลำปาง,เมืองลำปาง,บ้านเสด็จ,11,720,381,66,31,242
705,เขต,ลำปาง,แจ้ห่ม,วิเชตนคร,11,320,209,17,24,70
706,เขต,ลำปาง,แจ้ห่ม,บ้านสา,8,320,215,11,9,85
707,เขต,ลำปาง,งาว,หลวงเหนือ,3,560,325,13,19,203
708,เขต,ลำปาง,นอกเขต,ชุดที่ 5,-1,700,620,26,54,-1
709,เขต,ลำปาง,งาว,บ้านอ้อน,2,600,395,20,8,177
