district,sub_district,age,male,female,total
วังเหนือ,ร่องเคาะ,75,31,29,60
วังเหนือ,ร่องเคาะ,76,30,38,68
วังเหนือ,ร่องเคาะ,77,27,32,59
วังเหนือ,ร่องเคาะ,78,32,23,55
วังเหนือ,ร่องเคาะ,79,15,23,38
วังเหนือ,ร่องเคาะ,80,15,17,32
วังเหนือ,ร่องเคาะ,81,23,22,45
วังเหนือ,ร่องเคาะ,82,13,8,21
วังเหนือ,ร่องเคาะ,83,14,17,31
วังเหนือ,ร่องเคาะ,84,6,17,23
วังเหนือ,ร่องเคาะ,85,7,9,16
วังเหนือ,ร่องเคาะ,86,6,19,25
วังเหนือ,ร่องเคาะ,87,8,8,16
